,Seed,Search pattern,Search radius,Max_current,Upper current,Profile,Zwemvaardgheid,Windrichting,Windsnelheid,Uitruktijd,Stamina begin,Overgebleven conditie,Vind tijd,Locatie begin,Locatie eind,Gevonden,Actieduur
0,14000001,Sector Search,100,2.0,0.77,1,SLECHT,OOST,8,15,3831,1256,1298,"(33, 10)","(67, 15)",True,398.00
1,15000001,Sector Search,100,2.0,0.77,2,GOED,OOST,10,15,4013,-1,1339,"(16, 8)","(48, 11)",False,Niet gevonden
2,16000001,Sector Search,100,2.0,0.41,1,GOED,OOST,8,15,3991,2738,1253,"(41, 8)","(59, 12)",True,353.00
3,17000001,Sector Search,100,2.0,0.77,2,SLECHT,OOST,8,15,4381,270,1325,"(42, 5)","(73, 7)",True,425.00
4,18000001,Sector Search,100,2.0,0.77,1,SLECHT,OOST,10,15,4485,294,1348,"(44, 8)","(78, 14)",True,448.00
5,19000001,Sector Search,100,2.0,0.41,2,SLECHT,OOST,10,15,4856,-2,1081,"(27, 8)","(43, 11)",False,Niet gevonden
6,20000001,Sector Search,100,2.0,0.77,2,SLECHT,OOST,10,15,3241,-2,722,"(17, 10)","(43, 12)",False,Niet gevonden
7,20000001,Sector Search,100,2.0,0.77,2,SLECHT,OOST,10,15,3241,-2,722,"(17, 10)","(43, 12)",False,Niet gevonden
8,20000001,Sector Search,100,2.0,0.77,2,SLECHT,ZUID,10,15,3241,-2,722,"(17, 10)","(46, 8)",False,Niet gevonden
9,20000001,Sector Search,100,2.0,0.77,2,SLECHT,ZUID,10,15,3241,-2,722,"(17, 10)","(46, 8)",False,Niet gevonden
10,14000002,Sector Search,100,2.0,0.77,1,SLECHT,OOST,8,15,3956,1361,1276,"(25, 9)","(60, 14)",True,376.00
11,15000002,Sector Search,100,2.0,0.77,2,GOED,OOST,10,15,3792,0,1265,"(30, 13)","(61, 16)",False,Niet gevonden
12,16000002,Sector Search,100,2.0,0.41,1,GOED,OOST,8,15,2467,1478,989,"(22, 9)","(40, 13)",True,89.00
13,17000002,Sector Search,100,2.0,0.77,2,SLECHT,OOST,8,15,4065,148,1281,"(30, 12)","(62, 14)",True,381.00
14,18000002,Sector Search,100,2.0,0.77,1,SLECHT,OOST,10,15,2938,-1,981,"(32, 10)","(66, 14)",False,Niet gevonden
15,19000002,Sector Search,100,2.0,0.41,2,SLECHT,OOST,10,15,3867,-2,861,"(24, 13)","(39, 15)",False,Niet gevonden
