Kolom1	Seed	Label	Search pattern	Search radius	Max_current	Upper current	Profile	Zwemvaardgheid	Windrichting	Windsnelheid	Uitruktijd	Stamina begin	Overgebleven conditie	Vind tijd	Locatie begin	Locatie eind	Gevonden	Actieduur			scenario	sec	min	scec		aandeel	
0	10001	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2889	2165	362	(26, 6)	(32, 7)	True	62			0	206.664	3.38	23	0	0.0%	
11	10002	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2838	1728	555	(27, 8)	(33, 10)	True	255			wind - 	190.868	3.18	11	0	0.0%	-5.9%
22	10003	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2420	1342	539	(42, 8)	(48, 10)	True	239			wind + 	209.3197556	3.49	29	9	1.8%	3.2%
33	10004	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5021	3947	537	(34, 12)	(40, 14)	True	237			stroming - 	194.664	3.24	15	0	0.0%	-4.0%
44	10005	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5128	4072	528	(40, 13)	(46, 15)	True	228			storming + 	203.2	3.39	23	0	0.0%	0.2%
55	10006	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3100	2394	353	(22, 5)	(28, 7)	True	53			uitruktijd -	186.166	3.10	6	0	0.0%	-8.2%
66	10007	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2997	1869	564	(23, 9)	(29, 11)	True	264			uitruktijd +	207.662	3.46	28	0	0.0%	2.4%
77	10008	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4344	3182	581	(19, 12)	(24, 14)	True	281			zoekradius - 	239.23	3.99	59	0	0.0%	18.0%
88	10009	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3811	2691	560	(25, 8)	(31, 11)	True	260			zoekradius +	191.892	3.20	12	0	0.0%	-5.4%
99	10010	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2503	1417	543	(32, 9)	(38, 11)	True	243			muistroom	194.208	3.24	14	0	0.0%	-4.2%
110	10011	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4473	3325	574	(19, 13)	(25, 15)	True	274			muistroom	195.042	3.25	15	0	0.0%	-3.8%
121	10012	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2494	1400	547	(29, 11)	(35, 13)	True	247									
132	10013	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2838	1726	556	(26, 12)	(32, 14)	True	256									
143	10014	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4666	3548	559	(28, 8)	(33, 10)	True	259									
154	10015	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4523	3363	580	(19, 8)	(24, 10)	True	280									
165	10016	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2647	1553	547	(29, 10)	(35, 12)	True	247									
176	10017	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3992	2908	542	(34, 14)	(40, 16)	True	242									
187	10018	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3007	1915	546	(31, 8)	(37, 10)	True	246									
198	10019	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2725	1629	548	(30, 12)	(36, 14)	True	248									
209	10020	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2723	1945	389	(38, 6)	(44, 7)	True	89									
