,Seed,Search pattern,Search radius,Max_current,Upper current,Profile,Zwemvaardgheid,Windrichting,Windsnelheid,Uitruktijd,Stamina begin,Overgebleven conditie,Vind tijd,Locatie begin,Locatie eind,Gevonden,Actieduur
0,10001,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,2889,2165,362,"(26, 6)","(32, 7)",True,62.00
1,20001,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,4190,1679,557,"(25, 10)","(33, 9)",True,257.00
2,30001,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,4704,3666,519,"(41, 14)","(47, 12)",True,219.00
3,40001,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,3088,1276,391,"(42, 8)","(46, 8)",True,91.00
4,50001,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,4976,2558,1209,"(29, 13)","(65, 11)",True,309.00
5,60001,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,3045,515,1515,"(41, 14)","(75, 19)",True,615.00
6,70001,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,3043,-2,1016,"(21, 10)","(53, 13)",False,Niet gevonden
7,80001,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2796,-2,623,"(37, 7)","(62, 5)",False,Niet gevonden
8,90001,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,4209,3047,1162,"(36, 11)","(54, 15)",True,262.00
9,100001,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,4344,1908,988,"(23, 7)","(45, 7)",True,88.00
10,110001,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,4611,1644,989,"(23, 10)","(44, 7)",True,89.00
11,120001,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,3014,0,671,"(20, 5)","(31, 7)",False,Niet gevonden
12,130001,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,3204,2392,406,"(39, 7)","(52, 6)",True,106.00
13,140001,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,3253,1044,562,"(29, 14)","(40, 17)",True,262.00
14,150001,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,5086,4020,533,"(41, 13)","(51, 14)",True,233.00
15,160001,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,5378,2489,548,"(32, 13)","(44, 12)",True,248.00
16,10002,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,2838,1728,555,"(27, 8)","(33, 10)",True,255.00
17,20002,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,4307,1757,557,"(24, 14)","(32, 13)",True,257.00
18,30002,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,4799,3643,578,"(15, 14)","(22, 13)",True,278.00
19,40002,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,5177,2399,526,"(41, 9)","(45, 10)",True,226.00
20,50002,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,4661,2655,1003,"(16, 7)","(52, 5)",True,103.00
21,60002,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,4611,2040,1034,"(30, 5)","(64, 8)",True,134.00
22,70002,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,4678,1063,1205,"(43, 14)","(75, 17)",True,305.00
23,80002,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2617,-1,583,"(21, 13)","(44, 12)",False,Niet gevonden
24,90002,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,4433,3271,1162,"(35, 10)","(53, 14)",True,262.00
25,100002,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,3670,1310,1136,"(41, 11)","(64, 11)",True,236.00
26,110002,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,3087,21,1022,"(40, 7)","(60, 5)",True,122.00
27,120002,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,3675,-1,818,"(17, 6)","(31, 8)",False,Niet gevonden
28,130002,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,3761,3019,371,"(26, 5)","(39, 5)",True,71.00
29,140002,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,4786,2082,554,"(32, 11)","(43, 14)",True,254.00
30,150002,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,3225,2507,359,"(22, 8)","(32, 8)",True,59.00
31,160002,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,4560,2364,338,"(18, 5)","(25, 4)",True,38.00
32,10003,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,2420,1342,539,"(42, 8)","(48, 10)",True,239.00
33,20003,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,2842,1122,386,"(39, 5)","(43, 4)",True,86.00
34,30003,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,4383,3701,341,"(19, 8)","(25, 7)",True,41.00
35,40003,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,4821,2166,524,"(43, 9)","(48, 9)",True,224.00
36,50003,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,4718,2350,1184,"(39, 13)","(76, 10)",True,284.00
37,60003,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,2933,479,1476,"(24, 14)","(58, 19)",True,576.00
38,70003,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,4723,1717,1002,"(18, 5)","(50, 8)",True,102.00
39,80003,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2852,0,635,"(35, 6)","(51, 4)",False,Niet gevonden
40,90003,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,3065,1886,1179,"(28, 10)","(46, 14)",True,279.00
41,100003,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,3127,914,1170,"(26, 14)","(49, 13)",True,270.00
42,110003,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,4663,1024,1213,"(22, 12)","(43, 9)",True,313.00
43,120003,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,2727,0,607,"(29, 10)","(40, 11)",False,Niet gevonden
44,130003,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,2574,1424,575,"(20, 14)","(34, 13)",True,275.00
45,140003,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,3449,1177,561,"(30, 13)","(41, 15)",True,261.00
46,150003,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,5335,4619,358,"(22, 8)","(32, 8)",True,58.00
47,160003,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,2480,497,578,"(19, 14)","(31, 12)",True,278.00
48,10004,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,5021,3947,537,"(34, 12)","(40, 14)",True,237.00
49,20004,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,2508,870,401,"(43, 6)","(51, 5)",True,101.00
50,30004,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,3975,2867,554,"(26, 12)","(33, 10)",True,254.00
51,40004,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,2798,823,521,"(41, 11)","(46, 12)",True,221.00
52,50004,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,4612,2492,1060,"(40, 7)","(77, 5)",True,160.00
53,60004,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,4992,2330,998,"(15, 5)","(49, 8)",True,98.00
54,70004,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,2460,0,821,"(42, 12)","(71, 14)",False,Niet gevonden
55,80004,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,3879,0,863,"(28, 14)","(63, 12)",False,Niet gevonden
56,90004,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,5217,4061,1156,"(37, 8)","(55, 12)",True,256.00
57,100004,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,2402,405,1196,"(16, 10)","(39, 10)",True,296.00
58,110004,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,3860,1040,940,"(25, 5)","(27, 2)",True,40.00
59,120004,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,3761,0,837,"(35, 10)","(50, 12)",False,Niet gevonden
60,130004,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,2778,2058,360,"(21, 5)","(34, 5)",True,60.00
61,140004,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,2526,524,580,"(21, 12)","(32, 15)",True,280.00
62,150004,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,2772,1630,571,"(25, 13)","(34, 13)",True,271.00
63,160004,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,4486,1844,573,"(24, 11)","(36, 9)",True,273.00
64,10005,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,5128,4072,528,"(40, 13)","(46, 15)",True,228.00
65,20005,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,4531,2244,388,"(38, 6)","(46, 5)",True,88.00
66,30005,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,5216,4150,533,"(36, 12)","(42, 10)",True,233.00
67,40005,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,4800,2132,534,"(36, 14)","(41, 14)",True,234.00
68,50005,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,3557,1167,1195,"(35, 13)","(71, 10)",True,295.00
